PRESEASON3	0	4	42	not recorded
SEASON3		1	4	42	not recorded
PRESEASON2014	2	4	42	not recorded
SEASON2014	3	4	42
PRESEASON2015	4	4	42
SEASON2015	5	4	42
PRESEASON2016	6       4,	42
SEASON2016	7       4, 410	42
PRESEASON2017	8	420,	440
SEASON2017	9	420,	440


normal: 2 (3~)

ranked: 4 (3~7)

team ranked: 42 (3~7)

ranked: 410 (7)

ranked teambuilder: 420 (8~9)

ranked flex: 440 (8~9)


QUEUETYPE	NAME
0	Custom games
8	Normal 3v3 games
2	Normal 5v5 Blind Pick games
14	Normal 5v5 Draft Pick games
4	Ranked Solo 5v5 games
6	Ranked Premade 5v5 games
9	Used for both historical Ranked Premade 3v3 games and current Ranked Flex Twisted Treeline games
41	Ranked Team 3v3 games
42	Ranked Team 5v5 games
16	Dominion 5v5 Blind Pick games
17	Dominion 5v5 Draft Pick games
7	Historical Summoner's Rift Coop vs AI games
25	Dominion Coop vs AI games
31	Summoner's Rift Coop vs AI Intro Bot games
32	Summoner's Rift Coop vs AI Beginner Bot games
33	Historical Summoner's Rift Coop vs AI Intermediate Bot games
52	Twisted Treeline Coop vs AI games
61	Team Builder games
65	ARAM games
70	One for All games
72	Snowdown Showdown 1v1 games
73	Snowdown Showdown 2v2 games
75	Summoner's Rift 6x6 Hexakill games
76	Ultra Rapid Fire games
78	One for All (Mirror mode)
83	Ultra Rapid Fire games played against AI games
91	Doom Bots Rank 1 games
92	Doom Bots Rank 2 games
93	Doom Bots Rank 5 games
96	Ascension games
98	Twisted Treeline 6x6 Hexakill games
100	Butcher's Bridge games
300	King Poro games
310	Nemesis games
313	Black Market Brawlers games
315	Nexus Siege games
317	Definitely Not Dominion games
318	All Random URF games
325	All Random Summoner's Rift games
400	Normal 5v5 Draft Pick games
410	Ranked 5v5 Draft Pick games
420	Ranked Solo games from current season that use Team Builder matchmaking
430	Normal 5v5 Blind Pick games
440	Ranked Flex Summoner's Rift games
600	Blood Hunt Assassin games
610	Dark Star games
